ABBAYE,ABE
ANCIEN CHEMIN,ACH
ANCIENS CHEMINS,ACH
AGGLOMERATION,AGL
AIRE,AIRE
AIRES,AIRE
ALLEE,ALL
ALLEES,ALL
ANCIENNE MONTEE,AMT
ANSE,ANSE
ARCADE,ARC
ARCADES,ARC
ANCIENNE ROUTE,ART
ANCIENNES ROUTES,ART
ANCIENNESROUTES,ART
AUTOROUTE,AUT
AVENUE,AV
BASTION,BAST
BAS CHEMIN,BCH
BOUCLE,BCLE
BOULEVARD,BD
BVD,BD
BEGUINAGE,BEGI
BEGUINAGES,BEGI
BERGE,BER
BERGES,BER
BOIS,BOIS
BARRIERE,BRE
BARRIERES,BRE
BOURG,BRG
BASTIDE,BSTD
BUTTE,BUT
CALE,CALE
CAMP,CAMP
CARREFOUR,CAR
CARRIERE,CARE
CARRIERES,CARE
CARRE,CARR
CARREAU,CAU
CAVEE,CAV
CENTRE CIAL,CCAL
CENTRE COM,CCAL
CENTRE COMM,CCAL
CENTRE COMMERCIAL,CCAL
CTRE CIAL,CCAL
CTRE COM,CCAL
CTRE COMM,CCAL
CTRE COMMERCIAL,CCAL
CAMPAGNE,CGNE
CHEM,CHE
CHEMIN,CHE
CHEMINS,CHE
CHEMINEMENT,CHEM
CHEMINEMENTS,CHEM
CHEZ,CHEZ
CHARMILLE,CHI
CHALET,CHL
CHAPELLE,CHP
CHAUSSEE,CHS
CHAUSSEES,CHS
CHATEAU,CHT
CHEMIN VICINAL,CHV
CHEMINS VICINAUX,CHV
CITE,CITE
CITES,CITE
CLOITRE,CLOI
CLOS,CLOS
COL,COL
COLLINE,COLI
COLLINES,COLI
CORNICHE,COR
CORNICHES,COR
COTE,COTE
COTEAU,COTE
COTEAUX,COTE
COTTAGE,COTT
COTTAGES,COTT
COUR,COUR
CAMPING,CPG
COURS,CRS
CASTEL,CST
CONTOUR,CTR
CENTRAL,CTRE
CENTRE,CTRE
DARSE,DARS
DEGRE,DEG
DEGRES,DEG
DIGUE,DIG
DIGUES,DIG
DOMAINE,DOM
DOMAINES,DOM
DESCENTE,DSC
DESCENTES,DSC
ECLUSE,ECL
ECLUSES,ECL
EGLISE,EGL
ENCEINTE,EN
ENCLOS,ENC
ENCLAVE,ENV
ESCALIER,ESC
ESCALIERS,ESC
ESPLANADE,ESP
ESPLANADES,ESP
ESPACE,ESPA
ETANG,ETNG
FAUBOURG,FG
FBG,FG
FONTAINE,FON
FORUM,FORM
FORT,FORT
FOSSE,FOS
FOSSES,FOS
FOYER,FOYR
FERME,FRM
FERMES,FRM
GALERIE,GAL
GALERIES,GAL
GARE,GARE
GARENNE,GARN
GRAND BOULEVARD,GBD
GRAND ENSEMBLE,GDEN
GRANDS ENSEMBLES,GDEN
GROUPE,GPE
GROUPES,GPE
GROUPEMENT,GPT
GRAND RUE,GR
GRANDE RUE,GR
GRANDES RUES,GR
GRANDRUE,GR
GRILLE,GRI
GRIMPETTE,GRIM
HAMEAU,HAM
HAMEAUX,HAM
HAUT CHEMIN,HCH
HAUTS CHEMINS,HCH
HIPPODROME,HIP
HALLE,HLE
HALLES,HLE
HLM,HLM
ILE,ILE
IMMEUBLE,IMM
IMMEUBLES,IMM
IMPASSE,IMP
IMPASSES,IMP
JARDIN,JARD
JARDINS,JARD
JETEE,JTE
JETEES,JTE
LIEU DIT,LD
LIEUDIT,LD
LEVEE,LEVE
LOTISSEMENT,LOT
LOTISSEMENTS,LOT
MAIL,MAIL
MANOIR,MAN
MARCHE,MAR
MARCHES,MAR
MAS,MAS
METRO,MET
MAISON FORESTIERE,MF
MOULIN,MLN
MOULINS,MLN
MONTEE,MTE
MONTEES,MTE
MUSEE,MUS
NOUVELLE ROUTE,NTE
PETITE AVENUE,PAE
PALAIS,PAL
PARC,PARC
PARCS,PARC
PASSAGE,PAS
PASSE,PASS
PASSES,PASS
PATIO,PAT
PAVILLON,PAV
PAVILLONS,PAV
PETIT CHEMIN,PCH
PORCHE,POR
PETIT DEGRE,PDEG
PETITS DEGRES,PDEG
PERIPHERIQUE,PERI
PETITE IMPASSE,PIM
PARKING,PKG
PLACE,PL
PLAGE,PLAG
PLAGES,PLAG
PLAN,PLAN
PLACIS,PLCI
PASSERELLE,PLE
PASSERELLES,PLE
PLAINE,PLN
PLATEAU,PLT
PLATEAUX,PLT
PASSAGE A NIVEAU,PN
POINTE,PNT
PONT,PONT
PONTS,PONT
PORTIQUE,PORQ
PORTIQUES,PORQ
PORT,PORT
POTERNE,POT
POURTOUR,POUR
PRE,PRE
PROMENADE,PROM
PRESQU ILE,PRQ
PETITE ROUTE,PRT
PARVIS,PRV
PERISTYLE,PSTY
PETITE ALLEE,PTA
PETITES ALLEES,PTA
PORTE,PTE
PETITE RUE,PTR
QUAI,QU
QRT,QUA
QUARTIER,QUA
RUE,R
RUES,R
RACCOURCI,RAC
RAIDILLON,RAID
REMPART,REM
RPR,REM
RESIDENCE,RES
RESIDENCES,RES
RUELLE,RLE
RUELLES,RLE
ROC,ROC
ROCADE,ROCA
ROQUET,ROQT
RAMPE,RPE
ROND POINT,RPT
ROTONDE,RTD
ROUTE,RTE
ROUTES,RTE
SENTE,SENT
SENTES,SENT
SENTIER,SEN
SENTIERS,SEN
STR,SEN
SQUARE,SQ
STATION,STA
STADE,STDE
TOUR,TOUR
