ANCIENCHEMIN,ACH
ALLEE,ALL
ALLEES,ALL
AVENUE,AV
BOULEVARD,BD
BVD,BD
CHEM,CHE
CHEMIN,CHE
CHEMINS,CHE
CITE,CITE
CITES,CITE
CLOITRE,CLOI
CLOS,CLOS
COTEAU,COTE
COTEAUX,COTE
COUR,COUR
CAMPING,CPG
COURS,CRS
DOMAINE,DOM
DOMAINES,DOM
EGLISE,EGL
ESPLANADE,ESP
ESPLANADES,ESP
FAUBOURG,FG
FBG,FG
FORUM,FORM
FOSSE,FOS
FOSSES,FOS
FERME,FRM
FERMES,FRM
GARE,GARE
JARDIN,JARD
JARDINS,JARD
LIEUDIT,LD
LIEUDIT,LD
PLACE,PL
PROMENADE,PROM
RUE,R
RUES,R
RUELLE,RLE
RUELLES,RLE
ROUTE,RTE
ROUTES,RTE
SENTIER,SEN
SENTIERS,SEN
SQUARE,SQ
TERTRE,TRT
VENELLE,VEN
VENELLES,VEN
VIA,VIA
VOIE,VOI
VOIES,VOI
