ID,contact_title,contact_h1,contact_form,email_form,name_form,nom_form,username_form,login_form,password_form,mdp_form,recherche_form,search_form,newsletter_form,commentaire_form,cart_form,textarea_form,class
0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1
3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
8,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
10,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
12,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
13,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
14,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
15,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
16,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1
17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
18,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
19,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
20,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
21,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
22,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
23,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
24,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
25,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
26,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1
27,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1
